country_ch,country_en,cases,deaths
不丹,Bhutan,"62,627",21
敘利亞,Syria,"57,467","3,164"
蒲隆地,Burundi,"53,631",38
塞席爾,Seychelles,"50,665",172
加彭,Gabon,"48,981",306
安道爾,Andorra,"47,890",165
巴布亞紐幾內亞,Papua New Guinea,"46,825",670
坦尚尼亞,Tanzania,"42,906",846
多哥,Togo,"39,396",290
幾內亞,Guinea,"38,267",467
巴哈馬,Bahamas,"37,491",833
賴索托,Lesotho,"34,790",723
海地,Haiti,"34,202",860
馬利,Mali,"33,062",743
聖露西亞,Saint Lucia,"30,004",409
貝南,Benin,"27,999",163
剛果共和國,Congo,"25,375",386
索羅門群島,Solomon islands,"24,575",153
密克羅尼西亞聯邦,Micronesia,"23,948",61
聖馬利諾,San Marino,"23,616",122
東帝汶,East Timor,"23,419",138
布吉納法索,Burkina Faso,"22,056",396
列支敦斯登,Liechtenstein,"21,431",89
格瑞那達,Grenada,"19,680",238
索馬利亞,Somalia,"18,863",930
南蘇丹,South Sudan,"18,368",138
塔吉克,Tajikistan,"17,786",125
赤道幾內亞,Equatorial Guinea,"17,229",183
東加,Tonga,"16,810",12
薩摩亞,Samoa,"16,427",29
摩納哥,Monaco,"16,119",67
多米尼克,Dominica,"15,760",74
吉布地,Djibouti,"15,690",189
尼加拉瓜,Nicaragua,"15,655",245
馬紹爾群島,Marshall Islands,"15,649",17
中非,Central Africa,"15,368",113
甘比亞,Gambia,"12,598",372
萬那杜,Vanuatu,"12,014",14
葉門,Yemen,"11,945","2,159"
索馬利蘭,Somaliland,"10,577",619
厄利垂亞,Eritrea,"10,189",103
尼日,Niger,"9,931",312
聖文森及格瑞那丁,Saint Vincent and the Grenadines,"9,589",123
安地卡及巴布達,Antigua and Barbuda,"9,106",146
葛摩,Comoros,"9,008",161
幾內亞比索,Guinea-Bissau,"8,960",176
賴比瑞亞,Liberia,"8,090",295
獅子山,Sierra Leone,"7,760",126
查德,Chad,"7,679",194
庫克群島,Cook Islands,"7,031",2
聖克里斯多福及尼維斯,Saint Kitts and Nevis,"6,597",47
聖多美普林西比,Sao Tome and Principe,"6,281",77
帛琉,Palau,"5,991",9
諾魯,Nauru,"5,247",1
吉里巴斯,Kiribati,"5,014",18
澳門,Macao,"3,514",121
吐瓦魯,Tuvalu,"2,779",0
紐埃,Niue,747,0
國際運輸工具(鑽石公主號),Int'l conveyance (Japan),741,13
教廷,Holy See,29,0
北韓,North Korea,2,1
